ime,visina,obrat
Tonovcov grad pri Kobaridu,500 m,22%
Gradišče (Bodešče),499 m,49%
Sveti Lenart (Bodešče),485 m,53%
Velika korita Soče,480 m,22%
Slap Beri,454 m,48%
Izvir Glijuna,450 m,38%
Mala Boka,440 m,50%
Kozlov rob,426 m,27%
Slap Sopota (Soupat),400 m,31%
Slap Virje,400 m,21%
Gregorčičev slap,390 m,84%
Korita Soče pri Kršovcu,390 m,34%
Veliki slap Kozjak,250 m,18%
Mali slap Kozjak,230 m,38%
Tolminska korita,180 m,19%
Grintovec,2558 m,0%
Jezerska Kočna,2540 m,2%
Skuta,2532 m,0%
Kokrska Kočna,2520 m,6%
Na Križu (Kokrska Kočna),2484 m,74%
Dolgi hrbet,2473 m,6%
Štruca,2457 m,8%
Kranjska Rinka,2453 m,6%
Koroška Rinka (Križ),2433 m,4%
Planjava,2392 m,2%
Štajerska Rinka,2374 m,11%
Ojstrica,2350 m,0%
Mala Rinka,2289 m,13%
Brana,2253 m,1%
Turska gora,2251 m,2%
Lučka Brana (Baba),2244 m,15%
Kalški greben,2224 m,3%
Mrzla gora,2203 m,3%
Storžič,2132 m,0%
Najvišji rob (Zeleniške špice),2127 m,10%
Velika (Koroška) Baba,2127 m,3%
Velika Zelenica,2114 m,6%
Storžek,2110 m,10%
Veliki vrh (Veža),2110 m,8%
Ledinski vrh,2108 m,4%
Kogel,2100 m,12%
Bivak pod Grintovcem,2100 m,7%
Krofička,2083 m,4%
Bivak pod Skuto,2070 m,9%
Velika Raduha,2062 m,1%
Kalška gora,2047 m,5%
Mala Raduha,2029 m,19%
Molička peč,2029 m,10%
Lučki Dedec,2023 m,6%
Mala Ojstrica,2017 m,8%
Vrh Korena,1999 m,6%
Kompotela,1989 m,6%
Tolsti vrh (Veža),1985 m,17%
Vršiči,1980 m,33%
Bivak pod Mrzlim vrhom,1980 m,27%
Košutna,1974 m,10%
Veliki Zvoh,1971 m,6%
Deska (Veža),1970 m,21%
Vežica,1965 m,36%
Dleskovec,1965 m,18%
Matkova kopa,1957 m,25%
Bivak v Kočni,1952 m,31%
Lanež,1925 m,22%
Jamarski bivak na Dleskovški planoti,1910 m,76%
Križevnik,1909 m,15%
Rjavčki vrh (Planinšca),1898 m,32%
Kamniška koča na Kamniškem sedlu,1864 m,0%
Krvavec,1853 m,4%
Mokrica,1853 m,15%
Srednji vrh,1853 m,9%
Vodotočno jezero (Veža),1850 m,14%
Lastovec,1841 m,36%
Planina Dolga trata,1835 m,37%
Rzenik,1833 m,14%
Cjanovca,1820 m,13%
Mali Grintovec,1813 m,9%
Jelovec,1808 m,29%
Kocbekov dom na Korošici,1808 m,2%
Konj,1803 m,3%
Vratca,1802 m,15%
Cojzova koča na Kokrskem sedlu,1793 m,2%
Goli vrh,1787 m,7%
Kapelica na Molički planini,1780 m,10%
Planina Košutna,1778 m,15%
Strelovec,1763 m,8%
Bašeljski vrh,1744 m,10%
Veliki vrh,1742 m,14%
Licjanovec,1733 m,77%
Tolsti vrh,1715 m,3%
Kranjska koča na Ledinah,1700 m,3%
Planina Polšak,1695 m,37%
Planina Dolga njiva (Krvavec),1688 m,21%
Komen,1684 m,11%
Dom na Krvavcu,1684 m,11%
Planina Koren,1675 m,18%
Gradišče (Velika planina),1666 m,1%
Kržišče (Pokovše),1658 m,80%
Planina Rzenik,1654 m,22%
Koritni vrh (Velika planina),1648 m,19%
Veliki Travnik,1637 m,21%
Šentanski vrh,1635 m,21%
Dobrča,1634 m,2%
Kozji vrh,1628 m,22%
Krnes,1613 m,27%
Gostišče Zeleni Rob,1612 m,13%
Hotel Krvavec,1600 m,75%
Planina Dolga njiva,1600 m,13%
Planina Javorje,1594 m,45%
Vrata,1591 m,28%
Boskovec,1587 m,16%
Kamniški Dedec,1583 m,10%
Smrekovec,1577 m,4%
Medvedjak,1573 m,26%
Planina Vodole,1570 m,39%
Poljanski rob,1569 m,42%
Planina Arta,1564 m,28%
Planina Podvežak,1564 m,22%
Kapela Marije Snežne (Velika planina),1560 m,9%
Veliki Rogatec (Veliki Rogac),1557 m,9%
Koča na Travniku,1548 m,14%
Češka koča na Spodnjih Ravneh,1542 m,1%
Veliki vrh nad Matkovim kotom,1539 m,75%
Logarska peč,1536 m,38%
Koča na Loki pod Raduho,1534 m,11%
Domžalski dom na Mali planini,1534 m,3%
Dom na Kališču,1534 m,3%
Mali Travnik,1532 m,51%
Koča na Treh plotih,1530 m,28%
Črnuški dom na Mali planini,1526 m,6%
Icmanikova planina,1520 m,40%
Knezova planina,1520 m,44%
Jarški dom na Mali planini,1520 m,12%
Vivodnik,1508 m,14%
Planina Konjščica (Velika planina),1505 m,11%
Planina Ravne,1500 m,37%
Planina Mali Travnik,1500 m,48%
Špic,1499 m,42%
Jenkova planina,1495 m,25%
Dom na Gospincu,1491 m,19%
Kriška planina,1480 m,12%
Grebenc,1479 m,43%
Koča na Dobrči,1478 m,4%
Koča na Kriški gori,1471 m,1%
Javorca (Golte),1465 m,33%
Koča na Grohatu,1460 m,12%
Visoki vrh nad Jezerskim,1459 m,29%
Dom na Menini planini,1453 m,2%
Račka vrata,1450 m,42%
Planina Kališče,1450 m,15%
Lešanska planina,1450 m,20%
Kranjska reber,1435 m,14%
Javorov vrh,1434 m,13%
Turni (pri Kozjem vrhu),1432 m,85%
Pri Pastirjih,1430 m,28%
Goli vrh (Šavnice),1426 m,35%
Lepenatka,1425 m,8%
Čisovec,1419 m,80%
Planina Jezerca,1410 m,75%
Hotel Golte,1410 m,18%
Velika Poljana,1410 m,13%
Javornik nad Jezerskim,1399 m,34%
Dom na Okrešlju,1396 m,3%
Krničarjeva koča na planini Javornik,1390 m,20%
Praprotnikova koča,1380 m,32%
Dom na Smrekovcu,1375 m,7%
Mozirska koča na Golteh,1356 m,9%
Knezova planina (Planina Bela peč),1350 m,57%
Slap Čedca,1350 m,14%
Kunšperski vrh (Brezovec),1336 m,86%
Povšnarjeva planina,1330 m,84%
Zavetišče v Hudičevem borštu,1328 m,8%
Izletniška kmetija Bukovc (Bukovnik),1327 m,95%
Bezovec,1326 m,56%
Mala Poljana,1325 m,17%
Planina Vodol,1324 m,57%
Ovča koča,1323 m,81%
Plesnikova planina,1319 m,79%
Kašna planina,1317 m,19%
Planina Dol,1308 m,24%
Lovska koča Črnevka,1300 m,63%
Zavetišče na Biba planini,1300 m,24%
Murijeva planina,1289 m,80%
Bivak na Kalu,1285 m,32%
Potoška gora,1283 m,13%
Skubrov vrh,1276 m,57%
Dom na Kisovcu,1275 m,11%
Kamniški vrh,1259 m,4%
Planjava pri Kamniškem vrhu,1243 m,45%
Turni,1240 m,54%
Mali Rogatec (Mali Rogac),1228 m,82%
Partizanska bolnica Mrzle vode,1226 m,47%
Planina Marjanine njive,1220 m,75%
Koča na Klemenči jami,1208 m,10%
Ojstri vrh (nad Prevalo),1197 m,82%
Kopa (Belska Kopa),1180 m,44%
Planina Travnik,1180 m,44%
Počka (Robnikova) planina,1165 m,48%
Prevala,1163 m,27%
Škrbina (Slaparjeva gora),1142 m,87%
Pleče,1131 m,98%
Dom pod Storžičem,1123 m,8%
Smokuški vrh,1122 m,17%
Baba,1119 m,25%
Mihčeva kopišča,1100 m,79%
Breška planina,1100 m,44%
Planina Osredek,1100 m,22%
Mešenik,1099 m,59%
Ambrož pod Krvavcem,1085 m,75%
Tolsti vrh (Dobrovlje),1077 m,35%
Planina Ravni,1075 m,54%
Bistriška planina,1057 m,17%
Sveti Križ nad Belimi Vodami,1054 m,76%
Vaško,1046 m,38%
Kopa (Partizanski vrh),1024 m,78%
Prgozdnik,1013 m,96%
Smolnik,1002 m,51%
Orlovo gnezdo (Slap Rinka),1000 m,11%
Vrhe,965 m,55%
Planinska koča Iskra na Jakobu,961 m,11%
Sveti Jošt nad Vranskim,955 m,47%
Sveta Mati Božja na Čreti,944 m,55%
Sveti Ahac (Kališe),941 m,50%
Vovar,940 m,43%
Planinska koča pri Franciju,930 m,32%
Sveti Lenart nad Gornjim Gradom,929 m,34%
Planica (vzletišče Gozd),926 m,86%
Matkov kot,920 m,20%
Skutman,911 m,81%
Grmada (Dobrovlje),898 m,51%
Sveti Lovrenc (Bašelj),892 m,25%
Zavetišče v Gozdu,891 m,22%
Robanova planina,890 m,29%
Lomek (Lom),884 m,81%
Sveti Primož nad Ljubnim,883 m,33%
Gradišče (Pustinjak),871 m,42%
Dom na Čreti,870 m,16%
Slap Orglice,870 m,12%
Sankaška koča,867 m,20%
Mali vrh nad Završnico,863 m,79%
Sveti Janez in Pavel (Dobrovlje),862 m,57%
Dom na Lovrencu (Bašelj),860 m,17%
Bezovec (Dobrovlje),857 m,58%
Zapečnikova planina,840 m,98%
Sveti Peter nad Begunjami,839 m,22%
Dom Čemšenik,835 m,21%
Sveti Primož in Sveti Peter,826 m,7%
Korošaški slapovi,800 m,22%
Sveti Miklavž na Gori,757 m,31%
Tominčev slap,750 m,30%
Štefanja gora,748 m,12%
Dom na Dobrovljah,745 m,52%
Sveti Florjan nad Gornjim Gradom,743 m,56%
Apnišče,740 m,77%
Gora Oljka,733 m,6%
Slap Palenk,730 m,40%
Sveti Lovrenc nad Zabreznico,725 m,40%
Jamna peč,720 m,93%
Vrholanov vrh (Ravne pri Šoštanju),710 m,88%
Dom planincev Farbanca,702 m,50%
Sveti Nikolaj (Možjanca),689 m,81%
Sveti Jurij nad Tržičem,673 m,58%
Šenturška Gora,671 m,74%
Grad Gutenberk (Hudi grad),663 m,89%
Sv. Miklavž nad Mačami,651 m,50%
Novi grad (Pusti grad),630 m,78%
Grad Kamen,620 m,41%
Brezovec,617 m,79%
Dom v Kamniški Bistrici,600 m,21%
Koželj,590 m,78%
Senčnica Josipine Turnograjske,570 m,43%
Planinski dom Šentjungert,565 m,24%
Sevčnik,562 m,96%
Kriva jelka,528 m,96%
Mokrišče Blata,505 m,88%
Sebenje,500 m,90%
Bazilika Marije Pomagaj na Brezjah,486 m,83%
Sveta Ana (Tunjice),475 m,42%
V Boštkú,466 m,98%
Vinski vrh (Vimperk),448 m,93%
Grad Velenje,442 m,89%
Slap Peračica,430 m,76%
Šobčev bajer,426 m,33%
Turistična kmetija Trnovc,412 m,96%
Grad Žovnek,409 m,35%
Šoštanj,358 m,85%
Planinski dom Milana Šinkovca,345 m,77%
Stol,2236 m,0%
Vrtača,2181 m,1%
Prešernova koča na Stolu,2174 m,7%
Kepa,2143 m,2%
Ojstrc / Hochobir,2139 m,5%
Košutnikov turn,2133 m,3%
Kordeževa glava (Peca),2125 m,1%
Bistriška špica/Feistritzer Spitze,2113 m,19%
Končnikov vrh,2109 m,18%
Vajnež,2104 m,5%
Veliko Kladivo,2094 m,5%
Veliki vrh (Košuta),2088 m,1%
Velika glava,2077 m,30%
Dovška Mala Kepa,2077 m,20%
Veška kopa/Wackendorfer Spitze,2074 m,40%
Begunjščica,2060 m,0%
Tolsta Košuta - Vzhodni vrh,2057 m,17%
Malo Kladivo,2036 m,21%
Gubno,2035 m,16%
Palec,2026 m,9%
Tolsta Košuta - Zahodni vrh,2026 m,16%
Pungartska gora,2025 m,30%
Zelenjak,2024 m,13%
Ovčji vrh (Kozjak) / Geissberg (Kosiak),2024 m,14%
Kravji vrh / Kuhberg,2017 m,75%
Mali vrh,2017 m,30%
Potoški Stol,2014 m,14%
Toplar,2000 m,12%
Begunjska Vrtača,1991 m,12%
Košutica,1968 m,5%
Kofce gora,1967 m,4%
Cjajnik / Lärchenturm,1965 m,12%
Svačica,1953 m,19%
Struška,1944 m,8%
Trupejevo poldne,1931 m,5%
Govca (Olševa),1929 m,3%
Bele peči (Lepi vrh),1926 m,75%
Setiče/Freiberg,1922 m,31%
Srednja peč,1920 m,80%
Žleb (Suho ruševje),1916 m,23%
Obel kamen (Olševa),1911 m,81%
Dovška Baba,1891 m,3%
Škrbina,1869 m,27%
Murnovc,1866 m,50%
Kamnitnik,1858 m,41%
Grlovec / Ferlacher Horn,1840 m,30%
Kresišče,1839 m,20%
Golica,1835 m,1%
Kraguljše,1828 m,56%
Visoki vrh,1828 m,26%
Maloško poldne / Mallestiger Mittagskogel,1823 m,35%
Mojstrovica,1816 m,26%
Lokovnikov Grintovec / Grintoutz,1809 m,31%
Ostra peč / Mallestiger Mittagskogel,1801 m,32%
Plešivec,1801 m,14%
Srednji vrh (nad Završnico),1796 m,19%
Rjavca / Rjautza,1789 m,45%
Krvavka,1784 m,36%
Na Možeh,1784 m,32%
Hruški vrh,1776 m,15%
Pristovški Storžič / Kärntner Storschitz,1759 m,9%
Koprivnjak / Kleiner Frauenkogel,1754 m,37%
Klek,1753 m,12%
Bivak na Belščici,1750 m,27%
Zajčnik,1746 m,47%
Zajmenove peči,1745 m,85%
Kamnica (Komnica) / Ferlacher Spitze,1742 m,88%
Mala Košuta,1740 m,25%
Vošca,1737 m,11%
Mala Peca,1731 m,29%
Tamarča,1728 m,53%
Hajnžev Praprotnik / Zeller Prapotnik,1727 m,87%
Veliki Javornik (Ženiklovec),1716 m,19%
Vrh Ljubeljščice (Triangel),1704 m,10%
Hajnževo sedlo,1701 m,22%
Belska planina (Svečica),1700 m,14%
Uršlja gora (Plešivec),1699 m,1%
Planina Seča,1698 m,36%
Alpengasthof Siebenhütten,1693 m,46%
Stegovnik,1692 m,7%
Mačenski vrh / Matschacher Gupf,1691 m,84%
Mali Javornik,1685 m,35%
Spodnji Plot,1682 m,37%
Dom na Uršlji gori,1680 m,74%
Grpišca,1676 m,47%
Votlina Kralja Matjaža,1670 m,27%
Hrašenska planina,1670 m,48%
Pečovnik (kota 1668),1668 m,46%
Bela peč / Weiße Wand,1665 m,49%
Dom na Peci,1665 m,11%
Celovška koča / Klagenfurter Hutte,1664 m,17%
Potočka zijalka,1660 m,12%
Kosmatica / Kosmatitza,1659 m,91%
Kamnati vrh,1658 m,42%
Roblekov dom na Begunjščici,1657 m,1%
Virnikov Grintovec,1654 m,7%
Visoka Bavha,1650 m,77%
Planina Dovška Rožca,1650 m,19%
Topica/Topitza,1649 m,44%
Mala Golica,1646 m,45%
Pečovnik,1640 m,56%
Veliki vrh nad Komatevro,1634 m,55%
Blekova planina,1629 m,39%
Macna / Matzen,1627 m,59%
Jerebikovec,1621 m,33%
Ruš,1614 m,52%
Sveta peč / Helige Wand,1613 m,57%
Čofatijev vrh,1606 m,85%
Žingarica / Singerberg,1589 m,46%
Rožca,1587 m,20%
Bela peč,1583 m,16%
Koča na Golici,1582 m,7%
Planina Zgornja Dolga njiva,1580 m,28%
Planina Zgornja Konjščica,1578 m,51%
Ojstra / Oistra,1577 m,81%
Psinski vrh / Sinacher Gupf ,1577 m,49%
Planina Zgornja Luža,1573 m,61%
Vgrizeva planina / Ogrisalm,1569 m,51%
Veška planina / Wackendorfer Alm,1568 m,61%
Rekaršica,1554 m,53%
Planina Korošica,1554 m,4%
Kapelška koča / Eisenkappler Hütte,1553 m,42%
Stara gora / Altberg,1552 m,89%
Petelinjek (nad Korenskim sedlom),1552 m,80%
Špičasti vrh / Spitzberg,1551 m,88%
Planina Javornik,1550 m,21%
Ptičji vrh,1550 m,28%
Snežnik (nad Koprivno),1543 m,85%
Sveta Ana (Macna) / St. Anna (Matzen),1536 m,59%
Dom na Zelenici,1536 m,3%
Zavetišče na planini Šija,1528 m,15%
Koča Berta / Bertahütte,1527 m,91%
Šoparjev vrh,1524 m,90%
Mejnik,1517 m,57%
Požgani rob,1513 m,58%
Planica,1508 m,32%
Peč (Tromeja),1508 m,5%
Bukovec,1506 m,35%
Polna peč,1503 m,34%
Žerjavov Praprotnik / Loibler Prapotnik,1500 m,87%
"Lipševa vrata (Vrata, Felsentore)",1500 m,57%
Kopa / Monte Coppa,1496 m,41%
Jureževa planina,1488 m,48%
Dom na Kofcah,1488 m,0%
Borovje,1476 m,22%
Veliki Rob / Großer Rain,1464 m,98%
Planina Ilovica,1462 m,55%
Planina Spodnja Konjščica,1451 m,28%
Spominska plošča Jožeta Rozmana,1450 m,58%
Borovski vrh (Žehtar) / Sechter,1449 m,97%
Koča Pr Zdravc,1448 m,41%
Planina Pungrat,1447 m,33%
Kališje,1435 m,84%
Tegoška planina,1430 m,39%
Lovska koča na Brvogih,1425 m,49%
Koča pri izviru Završnice,1425 m,8%
Dreiländereck Hütte,1423 m,29%
Plešivška kopa (Kozarnica),1414 m,63%
Potočnikova planina,1410 m,83%
Planina Rožca / Roschitzaalm,1407 m,85%
Planina Stamare,1400 m,31%
Planina Spodnja Dolga njiva,1400 m,17%
Robič,1384 m,98%
Jeseniška planina,1380 m,42%
Hruška planina,1378 m,36%
Koča na Ljubelju,1370 m,9%
Planina Možine,1352 m,56%
Veronjak / Hausberg,1348 m,99%
Hofovška planina / Hoffmansalpe,1335 m,97%
Sveti Lenart / St. Leonhard,1334 m,96%
Španov vrh,1334 m,20%
Planina Rep (Repija),1330 m,92%
Lovska koča nad Doslovško planino,1325 m,85%
Bivak brez meja / Bivacco Senza Confini,1319 m,78%
Na pečeh pri Črnem Vrhu,1318 m,86%
Koča na planini Preval-a,1311 m,4%
Govševa planina,1300 m,88%
Pusti Rovt,1296 m,35%
Koča Vrtača,1288 m,22%
Roblekova planina,1284 m,33%
Koča pod Košuto / Koschutahaus,1280 m,49%
Lovska koča Stanič,1280 m,39%
Golarjeva peč,1276 m,55%
Marija Snežna (Kavalar) / Madonna della Neve,1275 m,39%
Močnikova planina,1275 m,58%
Basališče (Paški Kozjak),1272 m,16%
Obirska planina,1272 m,47%
Planina Kladje / Quadiaalm,1271 m,89%
Potoška planina,1270 m,19%
Vetrh vrh,1268 m,63%
Planina Luža,1250 m,60%
Markljev Rovt,1250 m,43%
Velika Boncla,1241 m,82%
Sveti Duh pod Olševo,1232 m,40%
Izvir reke Meže,1230 m,90%
Božičev vrh / Boschitzberg,1228 m,47%
Štrukljev vrh,1227 m,87%
Tolsti vrh (pri Poljški planini),1225 m,90%
Zabreška planina,1225 m,29%
Planinski dom na kmetiji Kumer,1220 m,83%
Sveta Ana v Koprivni,1218 m,86%
Doslovška planina,1210 m,82%
Rovt Vrse,1200 m,37%
Žirovniška planina,1200 m,27%
Jesenik,1199 m,91%
Hom (nad Prevaljami),1193 m,89%
Brdo (Plezališče pod Golico),1192 m,83%
Ostrica,1182 m,84%
Valvasorjev dom pod Stolom,1181 m,4%
Tomčeva koča na Poljški planini,1180 m,18%
Veliki vrh (nad Mežiško dolino),1165 m,88%
Smučarski dom Črni vrh,1156 m,49%
Šumahov vrh,1155 m,89%
Pikov vrh,1149 m,87%
Alničje,1145 m,55%
Dom na Tromeji,1145 m,13%
Hribarska (Huda) zijalka,1140 m,58%
Planina Planinca,1136 m,26%
Mala Boncla (Bavha),1131 m,52%
Žmitkov špic,1124 m,39%
Železna (Kisla) voda,1115 m,43%
Zavetišče na Kalu,1112 m,48%
Špik (Paški Kozjak),1108 m,23%
Erjavčev rovt (Planina Mlinca),1105 m,77%
Partizanska bolnica Krtina,1100 m,48%
Jelenkamen,1096 m,23%
Stenica,1091 m,35%
Arihova peč / Arichwand,1090 m,93%
Planina Dolžanka,1090 m,49%
Andrejev dom na Slemenu,1086 m,14%
Koča nad Arihovo pečjo /  Rossalmhütte,1080 m,94%
Pogorevc,1076 m,84%
Sveti Vid pod Jernejevim vrhom,1075 m,59%
Smolnik,1075 m,23%
Koča na Naravskih ledinah,1072 m,37%
Sveti Jošt na Paškem Kozjaku,1063 m,87%
Sveti Jakob v Koprivni,1062 m,97%
Ajdna,1046 m,9%
Bivak Suška bajta,1034 m,87%
Planina Zali potok,1032 m,93%
Sveta Ana (Ljubelj),1032 m,78%
Mirca,1025 m,79%
Veliki Mošenik / Große Muschenig,1021 m,64%
Stolpnik,1012 m,13%
Jezero pri Čežov,1010 m,99%
Plakopec (Brezejec),1005 m,90%
Izvir Javornika,1000 m,48%
Špicasti  vrh (Kislica),994 m,25%
Visoko,991 m,90%
Sv. Mihael (Rute (Zavrh)) / St. Michael (Bärental),982 m,97%
Boč,978 m,2%
Dom Pristava v Javorniškem Rovtu,975 m,19%
Ramšakov vrh,970 m,36%
Veliki vrh nad Završnikom,968 m,54%
Dom na Paškem Kozjaku,960 m,22%
Srnjak,955 m,41%
Radojč,937 m,34%
Podgorska planina / Maria Elender Alm,930 m,65%
Smodivnik,923 m,94%
Slapovi v Preski,910 m,82%
Andrejev vrh,897 m,86%
Volinjak,886 m,82%
Donačka gora,884 m,3%
Fričev vrh,881 m,53%
Rokov vrh / Rochusberg,880 m,93%
Kamnek,873 m,34%
Stegovniški slap,872 m,60%
Gank,850 m,88%
Malnež,846 m,60%
Gora sv. Eme (Junska gora) / Hemmaberg,842 m,95%
Turška jama v Gozdašnici,835 m,51%
Lovska koča Štepih,825 m,42%
Plešivec,822 m,41%
Časov vrh,821 m,64%
Sveti Rupert (Završe),815 m,61%
Sveti Vid (Završe),808 m,61%
Vinska gora,806 m,48%
Poštarski dom pod Plešivcem,805 m,24%
Slapovi Dobršnik,800 m,45%
Temnjak,798 m,60%
Črepič,798 m,53%
Štalekarjev vrh,792 m,92%
Kalvarija nad Jesenicami,784 m,52%
Skalni vrh (Vodemla),780 m,91%
Kozjek,766 m,64%
Slap pod Kurico,760 m,80%
Slap pod Gozdašnico,760 m,78%
Kušpergarjev turn (Kušpergarjevi turni),750 m,88%
Kapelica sv. Barbare na Pejcah,750 m,61%
Soteska Čepa/Tscheppaschlucht,750 m,30%
Skala,750 m,32%
Gradišče nad Sotesko (Soteska),724 m,81%
RIS Dolina (Dovžanova soteska),720 m,80%
Strana,711 m,91%
Čopov rovt,710 m,85%
Slapišče pod Kalvarijo,700 m,86%
Dom na Boču,698 m,17%
Grad Lindek,695 m,43%
Javorniški slapovi,690 m,77%
Dom v Dragi,689 m,36%
Leški cerkvi,674 m,87%
Sveta Marjeta na Boču,655 m,54%
Podkanjski slap / Wildensteiner Wasserfall,640 m,86%
Izvir Sotle,640 m,36%
Jezero Završnica,630 m,89%
Partizanska bolnica na Formili/Boču,630 m,45%
Formila na Boču,624 m,50%
Rudijev dom na Donački gori,590 m,33%
Sveti Rok (Sele),582 m,94%
Gonžarjeva peč,575 m,23%
Lindeški slap,555 m,58%
Planinska koča Velikonočnica,550 m,77%
Mornova zijalka,550 m,42%
Krajnikov grad,549 m,64%
Grilova kapela na Boču,534 m,53%
Sveti Pankracij (Grajski grič),530 m,97%
Grad Konjice,515 m,47%
Sveti Donat,511 m,52%
Sveti Mihael na Pečici,500 m,62%
Sveti Miklavž (Sele),435 m,98%
Sveta Barbara v Zagradu,435 m,97%
Zbelovski grad,400 m,63%
Studeniški grad,315 m,56%
Črni vrh,1543 m,5%
Velika Kopa,1542 m,13%
Jezerski vrh,1537 m,20%
Mali Črni vrh,1533 m,33%
Košenjak,1522 m,7%
Lovrenška jezera,1520 m,2%
Rogla,1517 m,9%
Ribniška koča,1507 m,6%
Ostruščica,1498 m,77%
Ribniško jezero,1490 m,21%
Izvir reke Pake,1412 m,76%
Bivak Piramida,1395 m,86%
Koča na Pesku,1386 m,9%
Kozji vrh (pri Košenjaku),1383 m,89%
Grmovškov dom,1371 m,12%
Žigartov vrh,1346 m,26%
Klopni vrh,1340 m,18%
Sveti Urban (nad Kozjim Vrhom),1329 m,37%
Tiho jezero (Falski ribnik),1266 m,27%
Koča na Klopnem vrhu,1260 m,20%
Ruška koča na Arehu,1246 m,7%
Lukov slap,1240 m,76%
Jezerc,1222 m,46%
Črno jezero na Pohorju,1196 m,10%
Dom na Osankarici,1193 m,15%
Sveti Trije kralji,1181 m,13%
Dom na Košenjaku,1169 m,34%
Kremžarjev vrh,1164 m,13%
Razglednik,1147 m,29%
Koča pod Kremžarjevim vrhom,1102 m,15%
Koča na Pesniku,1101 m,27%
Andrejev dom - Pajk,1100 m,82%
Koča na Šumiku,1100 m,24%
Mariborska koča,1086 m,7%
Šteknetov vrh,1061 m,95%
Sv. Simon in Juda Tadej (Pernice),1059 m,93%
Pokeržnikov vrh,1055 m,92%
Kapunar,1051 m,34%
Sveti Jernej nad Muto,1038 m,89%
Šteharski vrh (Šteharnikov vrh),1018 m,81%
Bricnik,1017 m,87%
Sveti Urh (Strojna),998 m,94%
Sveti Janez Krstnik na Ojstrici ,982 m,52%
Slap Veliki Šumik,950 m,20%
Framski slap,925 m,33%
Sveti Urban (Radelca),920 m,93%
Janževski vrh,915 m,93%
Žavcarjev vrh,915 m,13%
Hlebov vrh (Rdeči Breg),913 m,78%
Sveti Duh na Ostrem Vrhu,904 m,30%
Sveti Pankracij (Radelca),900 m,92%
Slap Mali Šumik,890 m,49%
Lovski dom LD Gradišče,880 m,97%
Koča na Žavcarjevem vrhu,863 m,31%
Sveti Danijel (nad Trbonjami),845 m,97%
Golarjev vrh,843 m,97%
Sveta Barbara nad Slovenj Gradcem,829 m,49%
Sveti Trije Kralji (nad Radljami ob Dravi),820 m,92%
Sveti Primož nad Muto,806 m,91%
Zavetišče Onuk - Glavar,790 m,95%
Anski vrh (nad Pamečami),756 m,95%
Ančnikovo gradišče,750 m,49%
Trije križi na Konjiški gori,727 m,77%
Brinjeva gora (nad Prevaljami),723 m,79%
Pečke,720 m,31%
Sveta Magdalena (Brda),718 m,64%
Ribnica na Pohorju,715 m,95%
Lobnikov vrh,705 m,62%
Tojzlov vrh,703 m,27%
Planinski dom Kozjak,690 m,38%
Žusem,669 m,22%
Jelovice,623 m,84%
Lovska koča Radlje ob Dravi,622 m,95%
Brinjeva gora (nad Zrečami),616 m,97%
Petnikov vrh,603 m,49%
Sv. Urban nad Mariborom,595 m,38%
Stari grad nad Radljami ob Dravi (Mahrenberg),576 m,96%
Sv. Križ (Gaj nad Mariborom),575 m,40%
Babček,575 m,55%
Ljubična gora,533 m,98%
Sveti Križ pri Dravogradu,528 m,91%
Skala (nad Dravogradom),525 m,95%
Gradišče (nad Slovenj Gradcem),516 m,92%
Plački vrh,510 m,45%
Župank,508 m,93%
Sveti Avguštin,504 m,55%
Sedelnikov slap,500 m,88%
Sv. Uršula nad Dramljami,464 m,52%
Sv. Ana nad Makolami,460 m,87%
Samotni bor,426 m,59%
Sotinski breg (Kugla),418 m,31%
Janški vrh,417 m,95%
Serdiški breg (Rdeči breg),416 m,52%
Tromejnik,390 m,42%
Cerkev Device Marije na Kamnu,381 m,98%
Grad Grad na Goričkem,370 m,54%
Zavrh v Slovenskih goricah,370 m,27%
Sveti Benedikt (Kančevci),358 m,64%
Gomila,352 m,90%
Gorca,347 m,57%
Jeruzalem,338 m,33%
Razborški ribniki,330 m,55%
Piramida (Lendavske gorice),327 m,85%
Sv. Marija Magdalena (Dramlje),327 m,59%
Selo v Prekmurju,313 m,29%
Sv.  Ilija (Spodnje Dramlje),304 m,60%
Razgledni stolp Vinarium Lendava,302 m,85%
Izvir Toplega (Studeniškega) potoka,295 m,79%
Sveta Lucija nad Studenicami,290 m,58%
Partizanska bolnica Zima,290 m,45%
Grad Negova,289 m,92%
Sveta Trojica v Lendavskih goricah,266 m,93%
Turistična kmetija Amur,260 m,95%
Vršič nad Bogojino,246 m,62%
Lendavski grad (Dolnjelendavski grad),205 m,91%
Bukovniško jezero,189 m,44%
Babičev mlin na Muri,182 m,87%
Brod na Muri (Melinci),175 m,52%
Tošč,1021 m,3%
Pasja ravan,1020 m,6%
Goli vrh,962 m,34%
Sivka,934 m,19%
Mlaka,914 m,44%
Javorč,901 m,33%
Polhograjska Grmada,898 m,2%
Gontarska planina,894 m,23%
Lavrovec,890 m,38%
Sveti Lenart,861 m,26%
Sveti Ožbolt (nad Zmincem),859 m,23%
Osolnik,858 m,5%
Mala Grmada,853 m,37%
Bukov vrh,832 m,24%
Polhograjska Gora (Sveti Lovrenc),824 m,9%
Veliki hrib,815 m,50%
Goljek,809 m,40%
Sveti Jakob,806 m,4%
Marinčeva planina (Hrib),805 m,48%
