ime,visina,obrat
Partizanska bolnica Krvavice,620 m,40%
Kuk nad Paljevim,612 m,80%
Lovski dom pod Glavico,610 m,60%
Stjenkova koča na Trstelju,610 m,24%
Sabotin,609 m,5%
Vitovski hrib,604 m,44%
Stari tabor,603 m,34%
Unška koliševka,594 m,32%
Zidovnik (Sedovnik),575 m,56%
Sveti Tomaž (Planinca),572 m,52%
Soteska Pekel 5. slap,570 m,32%
Stolovec,563 m,63%
Sveta Ana (Razguri),560 m,86%
Dom na Sabotinu,560 m,18%
Sveti Socerb (Vipavska brda),555 m,82%
Stari grad nad Želimljami,555 m,87%
Štanjel (Sveti Danijel),553 m,74%
Lešenjak,552 m,63%
Volnik,546 m,26%
Sekirica,545 m,80%
Štivanski log,530 m,86%
Petelinjsko jezero,530 m,55%
Veliki hrib (kota 526),526 m,83%
Kuren (Sveti Miklavž),526 m,58%
Školj sv. Pavla nad Vrtovinom,520 m,46%
Planinski dom v Novem Svetu,518 m,53%
Rakov Škocjan,517 m,76%
Gura,510 m,90%
Veliki Gradež,507 m,53%
Vrtovka,502 m,64%
Planinska jama,500 m,46%
Tri učke,499 m,49%
Kuk,498 m,38%
Sveta Ana,484 m,8%
Marija Snežna na Gradišcah,467 m,91%
Veliki vrh (Črni hribi),463 m,61%
Mengore,453 m,23%
Lačna,451 m,29%
Zjat,449 m,50%
Renški vrh,449 m,57%
Vitovsko jezero,445 m,52%
Soteska Pekel 3. slap,445 m,47%
Sveti Jožef (Mlečnik),441 m,58%
Sveti Miklavž nad Vipavo,438 m,38%
Grad Socerb,437 m,11%
Fajti hrib,433 m,35%
Sveti Gregor na Dobravici,432 m,58%
Črnokalska Varda,423 m,83%
Ostri Vrh nad Vipavsko dolino,422 m,53%
Jama Vilenica,420 m,77%
Iški Vintgar (Vrbica),420 m,27%
Žalostna gora pri Preserju,418 m,44%
Krog,418 m,62%
Vrh križa,411 m,59%
Sveti Rupert nad Drago,409 m,57%
Sveti Kvirik,408 m,39%
Izvir Nežice,390 m,47%
Prižnica,383 m,79%
Tinjan,374 m,13%
Udornica Risnik,366 m,90%
Sveti Duh (Pedrovo),365 m,60%
Pomjan,360 m,84%
Dom v Iškem Vintgarju,360 m,52%
Orlovo gnezdo (Veli Badin),359 m,22%
Divje jezero,350 m,31%
Veliko Cerje,343 m,40%
Sveti Lovrenc (Jezero),329 m,39%
Sveti Kvirin na Paljevem,321 m,83%
Dolina reke Glinščice / Val Rosandra,320 m,8%
Dolina Drage,310 m,84%
Izvir Ljubljanice (Retovje),308 m,35%
Izvir Ljubljanice (Močilnik),305 m,39%
Lopar,303 m,91%
Iški morost,289 m,52%
Marezige,284 m,85%
Sveti Duh (Sveti Peter),253 m,78%
Sveti Štefan (Zanigrad),246 m,50%
Stari grad Vipava,241 m,42%
Lovsko zavetišče Kolombar,218 m,91%
Goli hrib,217 m,88%
Črni vrh (Iskra),119 m,90%
Jurjev hrib,109 m,89%
Slap potoka Struga,105 m,87%
Vanganelsko jezero,55 m,86%
Strunjanski križ,53 m,77%
Debeli rtič,28 m,83%
Ankaran,18 m,21%
Strunjanske soline,2 m,88%
Triglav,2864 m,0%
Montaž / Jôf di Montasio,2753 m,2%
Škrlatica,2740 m,1%
Mali Triglav,2725 m,8%
Mangart,2679 m,0%
Viš/Jof Fuart,2666 m,4%
Vrh Brda / Cima Verde,2661 m,17%
Visoki Rokav,2646 m,10%
Jalovec,2645 m,1%
Veliki Oltar,2621 m,6%
Velika Martuljška Ponca,2602 m,11%
Razor,2601 m,2%
Dolkova špica,2591 m,6%
Visoki Kanin,2587 m,4%
Mali Kanin,2571 m,17%
Kanjavec (Zahodni vrh),2569 m,25%
Kanjavec,2569 m,3%
Glava v Zaplanji,2556 m,17%
Rogljica,2547 m,24%
Prisank / Prisojnik,2547 m,1%
Dovški križ,2542 m,8%
Kredarica,2541 m,75%
Rž,2538 m,11%
Rjavina,2532 m,4%
Špik nad Nosom / Foronon del Buinz,2531 m,13%
Morbegna,2520 m,10%
Triglavski dom na Kredarici,2515 m,2%
Koštrunove špice,2502 m,16%
Mala Martuljška Ponca,2501 m,20%
Stenar,2501 m,3%
Spodnji Rokav,2500 m,31%
Prestreljenik,2499 m,8%
Široka peč,2497 m,17%
Poprovec,2496 m,28%
Teme (Hribarice),2495 m,28%
Veliki Ozebnik,2480 m,18%
Špik,2472 m,1%
Mišeljski Konec,2464 m,18%
Begunjski vrh,2461 m,8%
Planja,2453 m,12%
Vršaki (Vzhodni vrh),2448 m,34%
Vrh Krnice,2441 m,30%
Vršaki (Južni vrh),2431 m,45%
Bivak Suringar,2430 m,33%
Kukova špica,2427 m,7%
Vršaki (Srednji vrh),2424 m,36%
Vršaki (Vrh za Koritami),2422 m,49%
Špik Hude police / Cima di Terrarossa,2420 m,4%
Pihavec,2419 m,11%
Špik nad Planjo / Punta Plagnis,2411 m,36%
Križ,2410 m,6%
Visoka Vrbanova špica,2408 m,7%
Lopa,2406 m,76%
Gubno,2403 m,27%
Dom Planika pod Triglavom,2401 m,4%
Veliko Špičje,2398 m,7%
Cmir,2393 m,8%
Bovški Gamsovec,2392 m,3%
Prestreljeniško okno,2391 m,75%
Debeli vrh,2390 m,9%
Vrh Hribaric,2388 m,29%
Šplevta (Indijanec),2382 m,25%
Strma peč / Monte Cimone,2380 m,20%
Travnik,2379 m,16%
Vrh Osojnic,2371 m,88%
Kriški rob,2366 m,26%
Velika Mojstrovka,2366 m,4%
Šmarjetna glava,2358 m,25%
Spodnji Stenar,2356 m,35%
Zadnja Mojstrovka,2354 m,19%
Vrh Krnega dola / Monte Cregnedul,2351 m,42%
Kol,2350 m,34%
Mišelj vrh,2350 m,10%
Plaski Vogel,2348 m,24%
Bavški Grintavec,2347 m,3%
Briceljk,2346 m,19%
Vevnica,2342 m,14%
Vrh Snežne konte,2342 m,28%
Velika Črnelska špica,2332 m,24%
Mala Mojstrovka,2332 m,1%
Dom Valentina Staniča pod Triglavom,2332 m,5%
Zadnji Vogel,2327 m,15%
Mali Ozebnik,2324 m,39%
Žrd / Sart,2324 m,24%
Velika Zelnarica,2320 m,12%
Veliki Nabojs / Monte Nabois grande,2313 m,24%
Malo Špičje,2312 m,20%
Mala Zelnarica,2310 m,16%
Škednjovec,2309 m,24%
Spodnja Vrbanova špica,2299 m,23%
Konjc,2289 m,33%
Frdamane police,2284 m,25%
Tosc,2275 m,3%
Visoka Ponca,2274 m,7%
Šplevta,2272 m,19%
Strug,2265 m,25%
Dom Petra Skalarja na Kaninu,2260 m,17%
Visoka Bela Špica / Cima Alta di Riobianco,2257 m,77%
Travnik,2252 m,23%
Krn,2244 m,0%
Veliki Draški vrh,2243 m,4%
Zadnja Ponca,2242 m,32%
Vrh Grubje,2240 m,46%
Srednja Ponca,2228 m,20%
Čelo,2228 m,16%
Srednji Vogel,2226 m,33%
Vernar,2225 m,14%
Rombon,2208 m,2%
Vodnikov Vršac (Vršac nad Zadnjico),2194 m,29%
Kopica,2190 m,18%
Plešivec (Loška stena),2184 m,24%
Gomiščkovo zavetišče na Krnu,2182 m,14%
Prvi Vogel,2181 m,26%
Vrh nad Peski,2176 m,13%
Batognica,2164 m,7%
Zgornje Kriško jezero,2158 m,12%
Koča na Doliču,2151 m,4%
Bivak Tarvisio,2150 m,87%
Velika Baba (Kanin),2148 m,75%
Bela peč/Monte Bila pec,2146 m,23%
Krnčica,2142 m,17%
Teme,2136 m,39%
Kotovo sedlo,2134 m,14%
Mali Draški vrh,2132 m,8%
Jerebica,2126 m,3%
Veliki Babanski Skedenj,2121 m,75%
Bivak na Jezerih,2118 m,21%
Suhi vrh,2109 m,26%
Goličica,2101 m,74%
Cesar,2098 m,22%
Velika Tičarica,2091 m,10%
Poldašnja špica/Jof di Miezegnot,2087 m,19%
Ogradi,2087 m,9%
Šitna glava,2087 m,13%
Tolminski Kuk,2085 m,8%
Zadnjiški Ozebnik,2084 m,15%
Sleme,2077 m,5%
Slatna,2077 m,21%
Prevalski Stog,2075 m,18%
Rigljica,2074 m,32%
Kamniti lovec / Cima del Cacciatore,2071 m,7%
Zasavska koča na Prehodavcih,2071 m,2%
Mala Tičarica,2071 m,8%
Zavetišče pod Špičkom,2064 m,10%
Podrta gora,2061 m,75%
Veliki Pršivec,2056 m,20%
Vrh nad Škrbino,2054 m,12%
Zeleni vrh,2052 m,30%
Pogačnikov dom na Kriških podih,2050 m,1%
Viševnik,2050 m,0%
Dve špici/Due Pizzi,2046 m,22%
Veliki Lemež,2042 m,79%
Bivak Marrusich,2041 m,42%
Jezerski Stog,2040 m,10%
Na Pečeh,2039 m,35%
Srednji vrh,2032 m,32%
Drobeče Sleme,2029 m,31%
Kreda,2025 m,17%
Eva,2019 m,19%
Velika Baba,2016 m,9%
Debela peč,2014 m,1%
Lopatnik,2012 m,21%
Adam,2012 m,20%
Mahavšček,2008 m,9%
Brda,2008 m,11%
Rjavo jezero,2006 m,17%
Ablanca,2004 m,8%
Lanževica,2003 m,11%
Kal,2001 m,24%
Meja,1996 m,43%
Vrh nad Vodeno Rupo,1995 m,51%
Zeleno jezero,1988 m,15%
Vogel (nad Lepeno),1980 m,82%
Velika Bavha / Monte Robon,1980 m,35%
Bivak na Rušju,1980 m,17%
Draški rob,1979 m,32%
Bogatin,1977 m,6%
Pri Banderi,1974 m,51%
Lipanski vrh,1974 m,11%
Vrh Planje,1971 m,30%
Raskovec,1967 m,29%
Rodica,1966 m,3%
Vrh Ovčje planje,1965 m,43%
Okroglež,1965 m,28%
Bivak pod Kotovim sedlom,1965 m,22%
Mrežce,1965 m,7%
Debeli vrh nad Lipanco,1962 m,15%
Velika Montura,1958 m,78%
Lopič / Monte Plauris,1958 m,40%
Vrh Leh,1958 m,51%
Veliki Selišnik,1952 m,29%
Bivak Gorizia,1950 m,38%
Mali Raskovec,1946 m,50%
Suha Rodica (Novi vrh),1944 m,45%
Veliki Šmohor,1944 m,24%
Prednje Robičje,1941 m,32%
Mali Šmohor,1939 m,33%
Matajurski vrh,1936 m,30%
Vrh Škrli,1926 m,45%
Macesnovec,1926 m,14%
Bela glava,1926 m,36%
Mala Ponca,1925 m,13%
Vogel,1922 m,3%
Rušnati vrh,1915 m,46%
Rdeči rob,1913 m,26%
Kraljevska špica/Monte Re,1912 m,28%
Slemenova špica,1911 m,1%
Speleološki bivak Modonutti - Savoia,1908 m,49%
Bivak Bernardinis,1907 m,48%
